datetime,deficit_MW
2050-01-01 00:00:00,-7828.81
2050-01-01 01:00:00,-8918.16
2050-01-01 02:00:00,-9790.18
2050-01-01 03:00:00,-9948.06
2050-01-01 04:00:00,-10045.68
2050-01-01 05:00:00,-10054.56
2050-01-01 06:00:00,-9915.07
2050-01-01 07:00:00,-9856.58
2050-01-01 08:00:00,-9621.55
2050-01-01 09:00:00,-9422.25
2050-01-01 10:00:00,-9500.29
2050-01-01 11:00:00,-9230.79
2050-01-01 12:00:00,-9626.35
2050-01-01 13:00:00,-9027.13
2050-01-01 14:00:00,-7546.14
2050-01-01 15:00:00,-7727.28
2050-01-01 16:00:00,-8170.83
2050-01-01 17:00:00,-6821.19
2050-01-01 18:00:00,-4419.49
2050-01-01 19:00:00,-6710.5
2050-01-01 20:00:00,-5844.71
2050-01-01 21:00:00,-6218.17
2050-01-01 22:00:00,-7549.65
2050-01-01 23:00:00,-8156.01
2050-01-02 00:00:00,-8712.01
2050-01-02 01:00:00,-7306.62
2050-01-02 02:00:00,-3668.97
2050-01-02 03:00:00,-4597.57
2050-01-02 04:00:00,-4715.68
2050-01-02 05:00:00,-3825.34
2050-01-02 06:00:00,-3205.21
2050-01-02 07:00:00,-2800.32
2050-01-02 08:00:00,-2522.87
2050-01-02 09:00:00,-4359.48
2050-01-02 10:00:00,-5085.57
2050-01-02 11:00:00,-3576.99
2050-01-02 12:00:00,-5335.65
2050-01-02 13:00:00,-5005.33
2050-01-02 14:00:00,-4873.65
2050-01-02 15:00:00,-5006.82
2050-01-02 16:00:00,-4005.44
2050-01-02 17:00:00,-4440.78
2050-01-02 18:00:00,-3811.56
2050-01-02 19:00:00,-6171.04
2050-01-02 20:00:00,-6314.49
2050-01-02 21:00:00,-5693.91
2050-01-02 22:00:00,-3685.53
2050-01-02 23:00:00,-845.04
2050-01-03 00:00:00,-396.78
2050-01-03 01:00:00,-694.66
2050-01-03 02:00:00,-2346.86
2050-01-03 03:00:00,-3131.72
2050-01-03 04:00:00,-3717.4
2050-01-03 05:00:00,-3580.61
2050-01-03 06:00:00,-4747.55
2050-01-03 07:00:00,-4761.34
2050-01-03 08:00:00,-5665.42
2050-01-03 09:00:00,-5700.68
2050-01-03 10:00:00,-5698.23
2050-01-03 11:00:00,-6542.06
2050-01-03 12:00:00,-7901.41
2050-01-03 13:00:00,-8146.9
2050-01-03 14:00:00,-8201.97
2050-01-03 15:00:00,-8299.81
2050-01-03 16:00:00,-6365.86
2050-01-03 17:00:00,-6880.45
2050-01-03 18:00:00,-6058.0
2050-01-03 19:00:00,-6519.32
2050-01-03 20:00:00,-6455.0
2050-01-03 21:00:00,-4315.63
2050-01-03 22:00:00,-4446.71
2050-01-03 23:00:00,-5886.22
2050-01-04 00:00:00,-4463.0
2050-01-04 01:00:00,-6328.6
2050-01-04 02:00:00,-5834.87
2050-01-04 03:00:00,-6502.11
2050-01-04 04:00:00,-8166.06
2050-01-04 05:00:00,-8697.88
