date,deficit_MW
2050-01-01,-8828.482083333334
2050-01-02,-4547.358333333334
2050-01-03,-5334.357083333333
2050-01-04,-8489.796666666667
2050-01-05,-9330.1425
2050-01-06,-3673.1416666666664
2050-01-07,-6099.632083333334
2050-01-08,-5681.399583333333
2050-01-09,-8409.855416666667
2050-01-10,-7536.292083333334
2050-01-11,-6572.163333333334
2050-01-12,-9529.209166666666
2050-01-13,-6839.465
2050-01-14,-3664.777083333333
2050-01-15,-4981.982916666667
2050-01-16,-5991.019583333334
2050-01-17,-6660.997916666667
2050-01-18,-8809.535416666668
2050-01-19,-9266.301666666666
2050-01-20,-7323.088333333333
2050-01-21,-3223.6175000000003
2050-01-22,-801.9391666666667
2050-01-23,-10078.300833333333
2050-01-24,-10794.23875
2050-01-25,-7988.087083333333
2050-01-26,-8223.27375
2050-01-27,-9575.630416666667
2050-01-28,-4352.227083333333
2050-01-29,-7607.505416666667
2050-01-30,-5737.189583333333
2050-01-31,-2676.4791666666665
2050-02-01,-5424.398749999999
2050-02-02,-4441.464583333333
2050-02-03,-8510.017916666666
2050-02-04,-5788.860416666666
2050-02-05,-10017.763333333334
2050-02-06,-343.57124999999996
2050-02-07,-2220.955
2050-02-08,-5737.16875
2050-02-09,-5567.113333333334
2050-02-10,-8635.210833333333
2050-02-11,-3871.9708333333333
2050-02-12,-4450.221666666667
2050-02-13,-10004.71875
2050-02-14,-4698.465
2050-02-15,-9271.123333333333
2050-02-16,-11148.9825
2050-02-17,-4776.487916666667
2050-02-18,-6465.085
2050-02-19,-7175.186666666667
2050-02-20,-8306.792916666667
2050-02-21,-3466.6366666666668
2050-02-22,-5307.3324999999995
2050-02-23,-8702.087916666665
2050-02-24,-9729.436666666666
2050-02-25,-9780.982916666666
2050-02-26,-5245.09375
2050-02-27,-7437.080000000001
2050-02-28,-5752.609583333334
2050-03-01,-4850.345833333334
2050-03-02,-11330.661666666667
2050-03-03,-8149.935416666667
2050-03-04,-11567.165833333333
2050-03-05,-5519.788333333334
2050-03-06,-3366.1720833333334
2050-03-07,-10572.720416666667
2050-03-08,-6793.430416666667
2050-03-09,-8224.196666666667
2050-03-10,-8511.580416666666
2050-03-11,-7750.766250000001
2050-03-12,-9138.195416666667
2050-03-13,-8232.509166666667
2050-03-14,-12701.255833333335
2050-03-15,-11872.550000000001
2050-03-16,-5919.008333333334
2050-03-17,-5408.812083333333
2050-03-18,-4895.7825
2050-03-19,-4705.002083333334
2050-03-20,-4959.6575
2050-03-21,-8513.709166666666
2050-03-22,-10852.005833333333
2050-03-23,-11386.855833333333
2050-03-24,-5880.38625
2050-03-25,-7684.92875
2050-03-26,-7937.202499999999
2050-03-27,-1951.7124999999999
2050-03-28,-7384.412916666667
2050-03-29,-8158.199166666666
2050-03-30,-5935.490000000001
2050-03-31,-12560.286666666667
2050-04-01,-10832.383749999999
2050-04-02,-8261.109166666667
2050-04-03,-9825.18
2050-04-04,-9018.2925
2050-04-05,-8524.67625
2050-04-06,-8536.379166666668
2050-04-07,-9733.312083333332
2050-04-08,-7353.564166666667
2050-04-09,-4107.31
2050-04-10,-6788.8475
2050-04-11,-8433.608333333334
2050-04-12,-8073.634166666667
2050-04-13,-10582.319583333334
2050-04-14,-6637.71
2050-04-15,-8804.32625
2050-04-16,-11655.29625
2050-04-17,-5171.562916666667
2050-04-18,-5860.840416666667
2050-04-19,-10453.781666666668
2050-04-20,-10101.683333333332
2050-04-21,-8783.767083333334
2050-04-22,-7617.681250000001
2050-04-23,-3583.2370833333334
2050-04-24,-6961.87625
2050-04-25,-4655.160833333333
2050-04-26,-6278.9608333333335
2050-04-27,-4108.315416666667
2050-04-28,-5627.145
2050-04-29,-8549.41
2050-04-30,-9583.199583333333
2050-05-01,-4914.70125
2050-05-02,-6374.904166666667
2050-05-03,-5615.282083333333
2050-05-04,-4618.5391666666665
2050-05-05,-6599.7891666666665
2050-05-06,-6743.594166666667
2050-05-07,-5351.012083333334
2050-05-08,-3837.1525
2050-05-09,-7441.497083333333
2050-05-10,-5932.94625
2050-05-11,-5096.621666666667
2050-05-12,-6628.227916666667
2050-05-13,-5903.38
2050-05-14,-2105.5104166666665
2050-05-15,-8215.397500000001
2050-05-16,-9221.862500000001
2050-05-17,-5689.485416666666
2050-05-18,-7373.022083333333
2050-05-19,-6995.865833333333
2050-05-20,-6546.150416666666
2050-05-21,-586.3804166666667
2050-05-22,-3424.0187499999997
2050-05-23,-1961.2395833333333
2050-05-24,-5174.99875
2050-05-25,-6193.917083333334
2050-05-26,-6590.524583333333
2050-05-27,-6498.792916666666
2050-05-28,-8172.876666666667
2050-05-29,-7453.100833333333
2050-05-30,-6882.012083333334
2050-05-31,-4382.6883333333335
2050-06-01,-339.175
2050-06-02,-392.6679166666667
2050-06-03,-4397.614583333333
2050-06-04,-1368.2425
2050-06-05,-3339.4016666666666
2050-06-06,-3064.0633333333335
2050-06-07,-2779.1691666666666
2050-06-08,-5084.114583333333
2050-06-09,-6178.3775
2050-06-10,-6023.633333333334
2050-06-11,-9758.02625
2050-06-12,-4879.258333333333
2050-06-13,-3468.5654166666664
2050-06-14,-3809.2775
2050-06-15,-3177.351666666667
2050-06-16,-2273.75125
2050-06-17,-963.93125
2050-06-18,-4475.420833333334
2050-06-19,-3329.3591666666666
2050-06-20,-3770.2483333333334
2050-06-21,-5064.23375
2050-06-22,-4730.491666666667
2050-06-23,-5276.662916666667
2050-06-24,-2226.272916666667
2050-06-25,360.31874999999997
2050-06-26,-1309.94
2050-06-27,-6033.352083333334
2050-06-28,-2348.400416666667
2050-06-29,-3341.0475
2050-06-30,-4614.294166666667
2050-07-01,-3893.0400000000004
2050-07-02,-1703.2516666666668
2050-07-03,121.56333333333333
2050-07-04,2710.72625
2050-07-05,-727.2512499999999
2050-07-06,-1429.7291666666667
2050-07-07,-2909.5929166666665
2050-07-08,-166.35416666666666
2050-07-09,78.63625
2050-07-10,-1749.3916666666667
2050-07-11,-1532.4695833333333
2050-07-12,-2976.83375
2050-07-13,-982.235
2050-07-14,-1726.6608333333334
2050-07-15,774.30625
2050-07-16,-1215.9591666666668
2050-07-17,-930.0245833333333
2050-07-18,-2168.4370833333332
2050-07-19,-928.1683333333334
2050-07-20,-1199.90875
2050-07-21,-2718.639583333333
2050-07-22,-2772.29875
2050-07-23,-2617.2883333333334
2050-07-24,-536.9658333333333
2050-07-25,-1271.4033333333334
2050-07-26,-145.38666666666668
2050-07-27,-1394.045
2050-07-28,438.28375
2050-07-29,-2664.4670833333334
2050-07-30,-1134.4366666666667
2050-07-31,1005.2004166666667
2050-08-01,904.9383333333334
2050-08-02,-1527.1779166666665
2050-08-03,-1466.96375
2050-08-04,-2703.3729166666667
2050-08-05,261.45625
2050-08-06,-199.53625
2050-08-07,-4517.394166666667
2050-08-08,-2117.725
2050-08-09,-729.8658333333333
2050-08-10,-682.9925
2050-08-11,-1475.3991666666668
2050-08-12,-2470.5495833333334
2050-08-13,-1408.6545833333332
2050-08-14,364.36708333333337
2050-08-15,237.54583333333332
2050-08-16,-2644.315416666667
