hour,load_MW,wind_MW,gen_total_MW,surplus_MW
0,4264.5,9198.19,9198.19,4933.69
1,4073.31,9017.85,9017.85,4944.54
2,3803.21,8884.81,8884.81,5081.6
3,3658.13,8695.9,8695.9,5037.77
4,3563.67,8458.5,8458.5,4894.83
5,3537.12,8132.95,8132.95,4595.83
6,3632.4,7987.21,7987.21,4354.81
7,3764.74,7793.23,7793.23,4028.49
8,3899.31,7410.28,7410.28,3510.97
9,4085.49,7050.65,7050.65,2965.16
10,4146.92,6840.76,6840.76,2693.84
11,4208.43,6485.57,6485.57,2277.14
12,4287.5,6446.25,6446.25,2158.75
13,4324.27,6414.21,6414.21,2089.94
14,4384.95,6808.54,6808.54,2423.59
15,4485.34,7436.74,7436.74,2951.4
16,4729.92,8092.05,8092.05,3362.13
17,5043.03,8770.34,8770.34,3727.31
18,5425.1,9265.97,9265.97,3840.87
19,5540.99,9741.82,9741.82,4200.83
20,5509.2,9884.69,9884.69,4375.49
21,5339.41,9933.11,9933.11,4593.7
22,5021.43,9690.66,9690.66,4669.23
23,4659.75,9424.68,9424.68,4764.93
