hour,load_MW,wind_MW,solar_MW,gen_total_MW,surplus_MW
0,4264.5,9198.19,0.0,9198.19,4933.69
1,4073.31,9017.85,0.0,9017.85,4944.54
2,3803.21,8884.81,0.0,8884.81,5081.6
3,3658.13,8695.9,0.0,8695.9,5037.77
4,3563.67,8458.5,0.92,8459.42,4895.75
5,3537.12,8132.95,369.83,8502.78,4965.66
6,3632.4,7987.21,586.02,8573.23,4940.83
7,3764.74,7793.23,1259.3,9052.53,5287.79
8,3899.31,7410.28,2034.69,9444.97,5545.66
9,4085.49,7050.65,2666.53,9717.18,5631.69
10,4146.92,6840.76,3043.81,9884.57,5737.65
11,4208.43,6485.57,3235.28,9720.85,5512.42
12,4287.5,6446.25,3266.29,9712.54,5425.04
13,4324.27,6414.21,2988.95,9403.16,5078.89
14,4384.95,6808.54,2445.34,9253.88,4868.93
15,4485.34,7436.74,1797.2,9233.94,4748.6
16,4729.92,8092.05,976.16,9068.21,4338.29
17,5043.03,8770.34,403.12,9173.46,4130.43
18,5425.1,9265.97,117.36,9383.33,3958.23
19,5540.99,9741.82,0.33,9742.15,4201.16
20,5509.2,9884.69,0.0,9884.69,4375.49
21,5339.41,9933.11,0.0,9933.11,4593.7
22,5021.43,9690.66,0.0,9690.66,4669.23
23,4659.75,9424.68,0.0,9424.68,4764.93
