month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,-3752.91,-3781.67,-3960.99,-4000.65,-4136.0,-4230.23,-3809.63,-3708.9,-4940.31,-4979.52,-5459.07,-5740.9,-6000.41,-5833.6,-5182.19,-4621.6,-3706.34,-3498.74,-3222.19,-3209.72,-2897.39,-3153.16,-3361.76,-3378.33
2,-3682.98,-3927.77,-4221.3,-4061.89,-4003.41,-3872.36,-3758.62,-4458.23,-4885.6,-5488.15,-5294.74,-4987.9,-5208.43,-4778.07,-4412.03,-4129.42,-3631.03,-3250.85,-2948.08,-3067.62,-3066.49,-3222.28,-3454.99,-3616.04
3,-5258.01,-5243.5,-5546.5,-5348.86,-5424.43,-5182.71,-5181.01,-5887.91,-6130.46,-6065.88,-6208.38,-6251.38,-6291.32,-5652.15,-5438.49,-5199.55,-4872.49,-4334.61,-4207.26,-4297.37,-4476.63,-4754.64,-5081.03,-5129.54
4,-5444.08,-5297.47,-5128.22,-5218.48,-4895.65,-4904.03,-5420.87,-5535.05,-5790.65,-6156.22,-6743.9,-6710.01,-6278.08,-5533.24,-5310.3,-5313.12,-5053.62,-4649.66,-4442.65,-4707.03,-4683.17,-4904.01,-4955.2,-5044.21
5,-3915.07,-3968.31,-4035.51,-3834.52,-3668.65,-4226.59,-4079.75,-3969.95,-3870.74,-3946.73,-4378.67,-4162.47,-3841.6,-3792.4,-3779.02,-3978.94,-3456.57,-3531.91,-3115.24,-2806.45,-2965.38,-3474.05,-3547.45,-3863.13
6,-1981.38,-2342.19,-2662.66,-2341.41,-1813.75,-2964.76,-3215.93,-2830.39,-2453.52,-2019.48,-2085.3,-1966.31,-1676.33,-1701.48,-1673.01,-2109.75,-2254.93,-1999.01,-1299.19,-1074.24,-1326.29,-1389.44,-1614.7,-1728.06
7,195.56,-22.85,-257.74,-21.15,16.78,-978.61,-994.97,-769.59,-774.6,-468.82,-447.43,-202.28,-180.78,-236.45,-227.82,-235.12,-24.85,145.91,411.94,354.02,521.32,689.89,433.13,388.37
8,425.36,211.36,169.39,-57.69,54.23,-273.0,-752.92,-886.03,-965.18,-1150.29,-937.87,-772.08,-741.85,-594.82,-304.82,-130.46,256.1,846.45,1327.82,1154.63,851.74,586.37,1142.81,848.67
9,-875.83,-1070.94,-1304.35,-1697.22,-1783.93,-1517.15,-2005.26,-2732.0,-3492.55,-3482.71,-3518.38,-3277.11,-2888.32,-2281.82,-1478.28,-684.16,94.22,990.69,1410.97,615.25,155.41,-58.83,-360.53,-785.91
10,-2916.68,-2723.47,-2746.87,-3212.21,-3182.39,-2913.72,-2775.45,-4058.5,-4308.62,-4726.39,-5151.91,-4803.28,-4559.04,-4017.91,-3758.82,-2998.46,-1752.01,-1206.36,-1246.7,-1528.27,-2094.38,-2227.55,-2495.79,-2469.93
11,-3471.1,-3380.25,-3437.68,-3298.66,-3141.64,-2768.02,-2353.24,-3945.98,-4500.28,-4993.07,-5082.01,-5104.02,-5254.67,-4804.75,-4446.76,-3720.72,-2745.55,-2568.7,-2400.36,-2676.29,-2931.66,-3137.4,-3298.16,-3478.83
12,-2861.19,-2648.7,-3085.68,-3113.89,-3172.98,-3042.9,-2650.69,-2968.17,-3807.08,-4515.68,-4516.15,-4129.11,-4255.6,-3863.21,-3441.16,-3125.42,-2358.5,-2043.87,-1901.96,-1989.43,-2009.66,-2351.38,-2405.04,-2641.48
