datetime,deficit_MW
2050-01-01 00:00:00,599.35
2050-01-01 01:00:00,-159.46
2050-01-01 02:00:00,-1019.9
2050-01-01 03:00:00,-1204.82
2050-01-01 04:00:00,-1300.12
2050-01-01 05:00:00,-1274.23
2050-01-01 06:00:00,-1120.81
2050-01-01 07:00:00,-1136.57
2050-01-01 08:00:00,-778.38
2050-01-01 09:00:00,-624.87
2050-01-01 10:00:00,-720.07
2050-01-01 11:00:00,-585.6
2050-01-01 12:00:00,-879.35
2050-01-01 13:00:00,-556.3
2050-01-01 14:00:00,-26.34
2050-01-01 15:00:00,-90.55
2050-01-01 16:00:00,-105.12
2050-01-01 17:00:00,693.94
2050-01-01 18:00:00,1789.94
2050-01-01 19:00:00,1294.17
2050-01-01 20:00:00,1700.82
2050-01-01 21:00:00,1563.76
2050-01-01 22:00:00,915.93
2050-01-01 23:00:00,454.78
2050-01-02 00:00:00,10.3
2050-01-02 01:00:00,714.54
2050-01-02 02:00:00,1754.67
2050-01-02 03:00:00,1458.93
2050-01-02 04:00:00,1435.48
2050-01-02 05:00:00,1748.07
2050-01-02 06:00:00,2073.91
2050-01-02 07:00:00,2297.53
2050-01-02 08:00:00,2425.88
2050-01-02 09:00:00,1944.61
2050-01-02 10:00:00,1681.16
2050-01-02 11:00:00,2100.81
2050-01-02 12:00:00,1573.77
2050-01-02 13:00:00,1677.24
2050-01-02 14:00:00,1743.44
2050-01-02 15:00:00,1752.93
2050-01-02 16:00:00,2242.85
2050-01-02 17:00:00,2412.51
2050-01-02 18:00:00,2934.13
2050-01-02 19:00:00,2268.33
2050-01-02 20:00:00,2203.5
2050-01-02 21:00:00,2460.86
2050-01-02 22:00:00,2987.66
2050-01-02 23:00:00,3665.52
2050-01-03 00:00:00,3593.93
2050-01-03 01:00:00,3440.37
2050-01-03 02:00:00,2812.95
2050-01-03 03:00:00,2514.52
2050-01-03 04:00:00,2309.97
2050-01-03 05:00:00,2366.64
2050-01-03 06:00:00,2119.77
2050-01-03 07:00:00,2183.15
2050-01-03 08:00:00,1924.53
2050-01-03 09:00:00,1961.78
2050-01-03 10:00:00,1945.52
2050-01-03 11:00:00,1587.98
2050-01-03 12:00:00,809.65
2050-01-03 13:00:00,613.74
2050-01-03 14:00:00,563.03
2050-01-03 15:00:00,493.24
2050-01-03 16:00:00,1666.85
2050-01-03 17:00:00,1640.51
2050-01-03 18:00:00,2288.15
2050-01-03 19:00:00,2110.15
2050-01-03 20:00:00,2168.5
2050-01-03 21:00:00,3014.74
2050-01-03 22:00:00,2794.79
2050-01-03 23:00:00,2096.97
