month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1857.98,1754.28,1588.45,1519.07,1470.93,1455.18,1677.3,1797.48,1811.05,1826.14,1780.72,1732.77,1635.79,1542.69,1393.63,1370.57,1529.52,1839.63,2267.5,2487.86,2679.92,2567.5,2387.66,2193.61
2,2012.94,1854.86,1575.32,1563.3,1544.7,1581.97,1699.48,1828.29,1936.81,2029.17,2114.97,2173.12,2091.68,2015.41,1942.6,1827.21,1767.32,1901.32,2403.53,2628.07,2762.73,2685.97,2479.56,2256.66
3,765.86,655.66,412.88,433.51,339.18,420.4,603.05,795.53,1110.81,1306.93,1292.63,1332.03,1376.26,1503.5,1341.48,1231.69,1250.46,1308.9,1526.72,1653.58,1635.31,1507.63,1248.92,1026.96
4,507.07,431.51,321.05,238.02,280.38,400.28,441.58,624.18,823.81,1048.89,1018.87,1133.95,1263.43,1411.34,1358.71,1335.77,1430.07,1545.16,1684.21,1655.78,1611.56,1402.44,1158.76,855.82
5,925.36,764.73,543.66,495.54,452.69,545.61,799.0,1079.13,1495.4,1888.94,2012.9,2288.86,2488.63,2507.57,2466.16,2319.1,2411.27,2320.08,2488.76,2454.56,2318.85,1992.07,1677.56,1299.39
6,1809.05,1513.17,1172.71,1146.43,1240.46,1180.64,1306.63,1694.32,2237.22,2846.99,3153.01,3487.83,3727.8,3751.27,3668.09,3453.09,3271.66,3258.37,3475.03,3387.54,3182.55,2992.41,2588.59,2239.6
7,2852.82,2575.9,2248.28,2173.54,2075.49,2170.41,2229.33,2588.98,3003.88,3600.46,4020.31,4342.67,4535.65,4582.09,4512.82,4338.7,4282.32,4258.72,4331.16,4179.85,4100.72,3950.11,3567.4,3246.3
8,2737.76,2481.76,2243.97,2020.56,1960.17,2027.38,1980.09,2197.18,2599.84,3066.76,3453.91,3791.73,3995.9,4113.8,4123.98,4089.91,4133.17,4201.35,4365.56,4247.84,4006.96,3703.73,3640.57,3223.81
9,2116.28,1876.46,1593.78,1337.35,1216.96,1269.88,1350.22,1457.94,1659.11,2185.25,2455.47,2760.01,3051.8,3308.17,3462.44,3611.24,3760.48,3927.27,4153.35,3801.16,3516.79,3262.7,2877.73,2432.78
10,1269.69,1229.11,1079.28,828.97,812.98,903.98,1103.91,1286.41,1520.82,1565.8,1529.09,1609.74,1752.51,1821.37,1860.06,1949.87,2160.52,2321.68,2533.97,2465.19,2257.5,2100.09,1845.43,1656.91
11,1598.91,1540.47,1385.88,1328.49,1329.14,1448.18,1666.53,1742.35,1618.49,1688.67,1635.87,1594.25,1499.28,1482.46,1429.28,1375.49,1569.92,1873.98,2260.55,2336.84,2326.86,2247.07,2065.99,1815.2
12,2335.92,2298.34,2039.57,1923.76,1869.03,1902.35,2129.41,2081.66,2149.18,2255.25,2255.23,2347.1,2278.01,2176.12,2087.57,1915.9,2157.21,2570.01,2990.1,3147.16,3220.49,3090.65,2931.11,2658.43
