hour,load_MW,solar_MW,gen_total_MW,surplus_MW
0,4264.5,0.0,0.0,-4264.5
1,4073.31,0.0,0.0,-4073.31
2,3803.21,0.0,0.0,-3803.21
3,3658.13,0.0,0.0,-3658.13
4,3563.67,0.92,0.92,-3562.75
5,3537.12,369.83,369.83,-3167.29
6,3632.4,586.02,586.02,-3046.38
7,3764.74,1259.3,1259.3,-2505.44
8,3899.31,2034.69,2034.69,-1864.62
9,4085.49,2666.53,2666.53,-1418.96
10,4146.92,3043.81,3043.81,-1103.11
11,4208.43,3235.28,3235.28,-973.15
12,4287.5,3266.29,3266.29,-1021.21
13,4324.27,2988.95,2988.95,-1335.32
14,4384.95,2445.34,2445.34,-1939.61
15,4485.34,1797.2,1797.2,-2688.14
16,4729.92,976.16,976.16,-3753.76
17,5043.03,403.12,403.12,-4639.91
18,5425.1,117.36,117.36,-5307.74
19,5540.99,0.33,0.33,-5540.66
20,5509.2,0.0,0.0,-5509.2
21,5339.41,0.0,0.0,-5339.41
22,5021.43,0.0,0.0,-5021.43
23,4659.75,0.0,0.0,-4659.75
