hour,load_MW,wind_MW,gen_total_MW,surplus_MW
0,4264.5,3733.65,3733.65,-530.85
1,4073.31,3660.45,3660.45,-412.86
2,3803.21,3606.45,3606.45,-196.76
3,3658.13,3529.76,3529.76,-128.37
4,3563.67,3433.4,3433.4,-130.27
5,3537.12,3301.26,3301.26,-235.86
6,3632.4,3242.1,3242.1,-390.3
7,3764.74,3163.36,3163.36,-601.38
8,3899.31,3007.92,3007.92,-891.39
9,4085.49,2861.94,2861.94,-1223.55
10,4146.92,2776.74,2776.74,-1370.18
11,4208.43,2632.56,2632.56,-1575.87
12,4287.5,2616.61,2616.61,-1670.89
13,4324.27,2603.6,2603.6,-1720.67
14,4384.95,2763.66,2763.66,-1621.29
15,4485.34,3018.66,3018.66,-1466.68
16,4729.92,3284.65,3284.65,-1445.27
17,5043.03,3559.98,3559.98,-1483.05
18,5425.1,3761.16,3761.16,-1663.94
19,5540.99,3954.32,3954.32,-1586.67
20,5509.2,4012.31,4012.31,-1496.89
21,5339.41,4031.96,4031.96,-1307.45
22,5021.43,3933.55,3933.55,-1087.88
23,4659.75,3825.59,3825.59,-834.16
