hour,load_MW,wind_MW,solar_MW,gen_total_MW,surplus_MW
0,4264.5,3733.65,0.0,3733.65,-530.85
1,4073.31,3660.45,0.0,3660.45,-412.86
2,3803.21,3606.45,0.0,3606.45,-196.76
3,3658.13,3529.76,0.0,3529.76,-128.37
4,3563.67,3433.4,0.92,3434.32,-129.35
5,3537.12,3301.26,369.83,3671.09,133.97
6,3632.4,3242.1,586.02,3828.12,195.72
7,3764.74,3163.36,1259.3,4422.66,657.92
8,3899.31,3007.92,2034.69,5042.61,1143.3
9,4085.49,2861.94,2666.53,5528.47,1442.98
10,4146.92,2776.74,3043.81,5820.55,1673.63
11,4208.43,2632.56,3235.28,5867.84,1659.41
12,4287.5,2616.61,3266.29,5882.9,1595.4
13,4324.27,2603.6,2988.95,5592.55,1268.28
14,4384.95,2763.66,2445.34,5209.0,824.05
15,4485.34,3018.66,1797.2,4815.86,330.52
16,4729.92,3284.65,976.16,4260.81,-469.11
17,5043.03,3559.98,403.12,3963.1,-1079.93
18,5425.1,3761.16,117.36,3878.52,-1546.58
19,5540.99,3954.32,0.33,3954.65,-1586.34
20,5509.2,4012.31,0.0,4012.31,-1496.89
21,5339.41,4031.96,0.0,4031.96,-1307.45
22,5021.43,3933.55,0.0,3933.55,-1087.88
23,4659.75,3825.59,0.0,3825.59,-834.16
