month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1013.95,939.88,757.89,692.69,608.13,576.25,840.86,918.35,-312.05,-527.7,-1108.59,-1529.26,-1779.67,-1718.19,-968.03,-367.08,591.61,1039.45,1409.01,1592.69,1814.45,1677.11,1485.11,1345.9
2,1127.56,948.38,699.79,715.3,709.75,772.59,891.29,148.87,-465.5,-1276.69,-1417.86,-1377.23,-1618.1,-1280.18,-973.36,-541.06,306.27,1147.13,1596.59,1738.29,1832.64,1745.92,1532.65,1315.97
3,-202.46,-267.15,-524.57,-479.75,-539.41,-417.68,-462.2,-1281.86,-1917.14,-2088.71,-2375.0,-2574.75,-2701.81,-2243.46,-1742.16,-1245.57,-635.08,217.15,628.91,707.93,647.35,469.61,193.66,16.35
4,-431.79,-449.21,-500.16,-599.02,-483.27,-653.66,-1052.49,-1267.12,-1783.48,-2357.01,-2935.32,-3026.34,-2688.65,-2084.35,-1561.15,-1239.96,-596.19,176.73,687.46,596.12,573.54,364.41,169.92,-56.05
5,280.92,129.24,-62.47,-60.37,-43.16,-786.54,-861.44,-978.57,-1170.4,-1357.59,-1718.29,-1651.32,-1349.94,-1149.79,-860.16,-572.92,248.91,701.15,1412.47,1688.82,1563.45,1190.86,932.05,551.95
6,1337.1,1017.46,675.21,698.76,849.81,-335.59,-700.37,-561.95,-493.81,-277.17,-409.77,-410.77,-123.5,48.7,407.55,487.35,972.41,1587.75,2438.04,2775.01,2583.43,2412.65,2059.38,1738.38
7,2490.22,2222.95,1906.64,1879.96,1791.73,487.59,414.71,447.77,322.73,452.68,414.08,592.34,700.51,807.91,1143.77,1622.1,2275.3,2827.19,3424.53,3672.38,3636.68,3531.33,3159.78,2866.52
8,2432.2,2180.21,1964.47,1739.54,1701.53,1157.02,786.61,536.71,257.88,24.59,144.18,202.72,285.98,506.0,1054.23,1566.76,2300.32,3155.85,3847.34,3833.45,3597.03,3298.81,3305.71,2909.81
9,1728.99,1499.88,1212.97,929.08,814.3,894.22,393.83,-341.67,-1099.33,-1324.06,-1465.46,-1327.15,-987.83,-491.48,394.5,1275.38,2265.73,3311.24,3800.16,3405.02,3083.12,2833.54,2464.08,2021.77
10,706.59,713.9,579.99,313.77,298.53,429.9,529.4,-817.17,-1274.75,-1683.82,-2098.04,-1882.51,-1766.91,-1276.2,-933.81,-133.14,1163.14,1843.58,2023.46,1932.91,1658.87,1529.24,1261.86,1103.01
11,814.16,787.75,645.17,652.14,690.42,862.14,1115.51,-488.33,-913.17,-1473.91,-1653.29,-1752.78,-1850.12,-1471.22,-1126.28,-219.89,895.06,1222.01,1552.52,1565.93,1504.65,1387.31,1201.19,971.82
12,1575.31,1598.32,1278.97,1205.18,1140.83,1196.46,1437.52,1291.3,361.82,-491.99,-666.72,-630.76,-756.59,-369.15,46.17,609.88,1511.66,1904.44,2266.5,2387.08,2436.54,2261.66,2126.82,1874.11
