Time_Local,Time_UTC,run_date,ZoneK_no_baf_MW,ZoneK_cuerg_MW,ZoneK_swain_MW,ZoneK_forecast_MW,ZoneK_nypa_MW
2050-01-01 00:00:00,2050-01-01 05:00:00,2050-01-01,4453.8,nan,1658.66,1713.17,1414.72
2050-01-01 01:00:00,2050-01-01 06:00:00,2050-01-01,4429.02,nan,1648.09,1702.46,1406.45
2050-01-01 02:00:00,2050-01-01 07:00:00,2050-01-01,4350.79,nan,1617.61,1671.08,1380.76
2050-01-01 03:00:00,2050-01-01 08:00:00,2050-01-01,4275.42,nan,1588.34,1640.9,1355.78
2050-01-01 04:00:00,2050-01-01 09:00:00,2050-01-01,4228.14,nan,1569.43,1621.56,1339.79
2050-01-01 05:00:00,2050-01-01 10:00:00,2050-01-01,4234.02,nan,1570.88,1623.35,1340.75
2050-01-01 06:00:00,2050-01-01 11:00:00,2050-01-01,4284.28,nan,1588.7,1641.83,1357.15
2050-01-01 07:00:00,2050-01-01 12:00:00,2050-01-01,4218.26,nan,1565.23,1618.57,1332.75
2050-01-01 08:00:00,2050-01-01 13:00:00,2050-01-01,3808.14,nan,1412.0,1461.99,1200.55
2050-01-01 09:00:00,2050-01-01 14:00:00,2050-01-01,3180.28,nan,1179.15,1220.8,1004.95
2050-01-01 10:00:00,2050-01-01 15:00:00,2050-01-01,2524.94,nan,929.56,962.77,797.98
2050-01-01 11:00:00,2050-01-01 16:00:00,2050-01-01,1920.13,nan,700.21,725.19,604.86
2050-01-01 12:00:00,2050-01-01 17:00:00,2050-01-01,1434.73,nan,513.43,533.02,448.65
2050-01-01 13:00:00,2050-01-01 18:00:00,2050-01-01,933.84,nan,322.14,335.77,290.86
2050-01-01 14:00:00,2050-01-01 19:00:00,2050-01-01,539.08,nan,175.84,184.06,168.32
2050-01-01 15:00:00,2050-01-01 20:00:00,2050-01-01,318.43,nan,95.94,100.83,100.4
2050-01-01 16:00:00,2050-01-01 21:00:00,2050-01-01,407.04,nan,128.83,134.4,128.46
2050-01-01 17:00:00,2050-01-01 22:00:00,2050-01-01,982.05,nan,343.57,356.78,304.29
2050-01-01 18:00:00,2050-01-01 23:00:00,2050-01-01,1720.48,nan,622.81,646.15,537.67
2050-01-01 19:00:00,2050-01-02 00:00:00,2050-01-01,2391.85,nan,881.05,912.19,754.2
2050-01-01 20:00:00,2050-01-02 01:00:00,2050-01-01,2849.83,nan,1055.8,1092.28,900.01
2050-01-01 21:00:00,2050-01-02 02:00:00,2050-01-01,3243.3,nan,1205.9,1247.07,1025.02
2050-01-01 22:00:00,2050-01-02 03:00:00,2050-01-01,3569.92,nan,1329.67,1374.88,1128.35
2050-01-01 23:00:00,2050-01-02 04:00:00,2050-01-01,3883.75,nan,1447.68,1497.83,1227.72
2050-01-02 00:00:00,2050-01-02 05:00:00,2050-01-02,4171.94,nan,1555.65,1609.34,1317.54
2050-01-02 01:00:00,2050-01-02 06:00:00,2050-01-02,4520.3,nan,1689.16,1747.23,1428.61
2050-01-02 02:00:00,2050-01-02 07:00:00,2050-01-02,4827.0,nan,1805.01,1866.2,1526.75
2050-01-02 03:00:00,2050-01-02 08:00:00,2050-01-02,5145.74,nan,1925.97,1990.69,1629.29
2050-01-02 04:00:00,2050-01-02 09:00:00,2050-01-02,5448.74,nan,2041.11,2109.3,1727.31
2050-01-02 05:00:00,2050-01-02 10:00:00,2050-01-02,5706.12,nan,2137.19,2208.54,1810.34
2050-01-02 06:00:00,2050-01-02 11:00:00,2050-01-02,5978.96,nan,2240.96,2315.45,1898.49
2050-01-02 07:00:00,2050-01-02 12:00:00,2050-01-02,6116.05,nan,2293.92,2371.25,1939.69
2050-01-02 08:00:00,2050-01-02 13:00:00,2050-01-02,5922.84,nan,2219.97,2297.03,1873.92
2050-01-02 09:00:00,2050-01-02 14:00:00,2050-01-02,5631.04,nan,2101.5,2172.82,1782.9
2050-01-02 10:00:00,2050-01-02 15:00:00,2050-01-02,5267.89,nan,1954.6,2019.77,1663.08
2050-01-02 11:00:00,2050-01-02 16:00:00,2050-01-02,5029.94,nan,1854.46,1916.77,1586.57
2050-01-02 12:00:00,2050-01-02 17:00:00,2050-01-02,4901.92,nan,1801.14,1861.86,1542.19
2050-01-02 13:00:00,2050-01-02 18:00:00,2050-01-02,4874.69,nan,1787.75,1847.75,1533.32
2050-01-02 14:00:00,2050-01-02 19:00:00,2050-01-02,4914.06,nan,1802.22,1863.35,1545.58
2050-01-02 15:00:00,2050-01-02 20:00:00,2050-01-02,4970.74,nan,1824.25,1886.64,1562.54
2050-01-02 16:00:00,2050-01-02 21:00:00,2050-01-02,5151.1,nan,1893.95,1958.7,1620.85
2050-01-02 17:00:00,2050-01-02 22:00:00,2050-01-02,5512.03,nan,2034.4,2103.92,1735.09
2050-01-02 18:00:00,2050-01-02 23:00:00,2050-01-02,6025.28,nan,2231.04,2305.75,1908.63
2050-01-02 19:00:00,2050-01-03 00:00:00,2050-01-02,6398.8,nan,2372.57,2450.43,2030.3
2050-01-02 20:00:00,2050-01-03 01:00:00,2050-01-02,6611.08,nan,2452.59,2532.6,2097.37
2050-01-02 21:00:00,2050-01-03 02:00:00,2050-01-02,6780.14,nan,2516.66,2598.61,2151.94
2050-01-02 22:00:00,2050-01-03 03:00:00,2050-01-02,6972.72,nan,2589.73,2673.88,2213.7
2050-01-02 23:00:00,2050-01-03 04:00:00,2050-01-02,7170.96,nan,2664.85,2751.25,2277.81
2050-01-03 00:00:00,2050-01-03 05:00:00,2050-01-03,7355.77,nan,2733.88,2822.67,2336.49
2050-01-03 01:00:00,2050-01-03 06:00:00,2050-01-03,7597.38,nan,2826.61,2918.87,2414.86
2050-01-03 02:00:00,2050-01-03 07:00:00,2050-01-03,7762.55,nan,2888.27,2982.76,2468.09
2050-01-03 03:00:00,2050-01-03 08:00:00,2050-01-03,7899.4,nan,2940.53,3036.96,2513.03
2050-01-03 04:00:00,2050-01-03 09:00:00,2050-01-03,8011.4,nan,2982.93,3080.68,2549.94
2050-01-03 05:00:00,2050-01-03 10:00:00,2050-01-03,8120.99,nan,3025.89,3124.64,2585.51
2050-01-03 06:00:00,2050-01-03 11:00:00,2050-01-03,8226.85,nan,3067.46,3167.72,2619.57
2050-01-03 07:00:00,2050-01-03 12:00:00,2050-01-03,8223.06,nan,3068.64,3169.02,2614.38
2050-01-03 08:00:00,2050-01-03 13:00:00,2050-01-03,7903.05,nan,2949.67,3047.12,2508.44
2050-01-03 09:00:00,2050-01-03 14:00:00,2050-01-03,7504.08,nan,2797.14,2889.86,2385.8
2050-01-03 10:00:00,2050-01-03 15:00:00,2050-01-03,7259.11,nan,2704.48,2794.06,2308.77
2050-01-03 11:00:00,2050-01-03 16:00:00,2050-01-03,6949.05,nan,2587.4,2673.39,2209.6
2050-01-03 12:00:00,2050-01-03 17:00:00,2050-01-03,6525.57,nan,2419.97,2500.51,2072.25
