hour,baseline_MW,ev_MW,hvac_MW,total_MW
2050-01-01 00:00:00,2028.918,1203.554,1414.72,4647.192
2050-01-01 01:00:00,1927.625,1133.15,1406.45,4467.225
2050-01-01 02:00:00,1868.784,956.427,1380.76,4205.97
2050-01-01 03:00:00,1843.281,851.09,1355.78,4050.151
2050-01-01 04:00:00,1865.26,747.299,1339.79,3952.349
2050-01-01 05:00:00,1949.351,650.747,1340.75,3940.848
2050-01-01 06:00:00,2118.144,590.499,1357.15,4065.793
2050-01-01 07:00:00,2197.683,612.992,1332.75,4143.425
2050-01-01 08:00:00,2241.921,696.827,1200.55,4139.298
2050-01-01 09:00:00,2287.547,842.616,1004.95,4135.113
2050-01-01 10:00:00,2300.817,881.98,797.98,3980.777
2050-01-01 11:00:00,2301.654,918.686,604.86,3825.2
2050-01-01 12:00:00,2305.033,953.295,448.65,3706.978
2050-01-01 13:00:00,2305.305,966.718,290.86,3562.884
2050-01-01 14:00:00,2333.61,963.886,168.32,3465.815
2050-01-01 15:00:00,2380.749,971.301,100.4,3452.45
2050-01-01 16:00:00,2529.397,1039.327,128.46,3697.184
2050-01-01 17:00:00,2738.337,1141.428,304.29,4184.056
2050-01-01 18:00:00,2821.872,1359.189,537.67,4718.732
2050-01-01 19:00:00,2871.278,1433.371,754.2,5058.85
2050-01-01 20:00:00,2829.567,1474.587,900.01,5204.163
2050-01-01 21:00:00,2625.419,1540.717,1025.02,5191.156
2050-01-01 22:00:00,2430.564,1467.435,1128.35,5026.348
2050-01-01 23:00:00,2213.944,1366.336,1227.72,4808.0
2050-01-02 00:00:00,2028.918,1203.554,1317.54,4550.012
2050-01-02 01:00:00,1927.625,1133.15,1428.61,4489.385
2050-01-02 02:00:00,1868.784,956.427,1526.75,4351.96
2050-01-02 03:00:00,1843.281,851.09,1629.29,4323.661
2050-01-02 04:00:00,1865.26,747.299,1727.31,4339.869
2050-01-02 05:00:00,1949.351,650.747,1810.34,4410.438
2050-01-02 06:00:00,2118.144,590.499,1898.49,4607.133
2050-01-02 07:00:00,2197.743,612.992,1939.69,4750.426
2050-01-02 08:00:00,2241.921,696.827,1873.92,4812.668
2050-01-02 09:00:00,2287.547,842.616,1782.9,4913.063
2050-01-02 10:00:00,2300.817,881.98,1663.08,4845.877
2050-01-02 11:00:00,2301.654,918.686,1586.57,4806.91
2050-01-02 12:00:00,2305.033,953.295,1542.19,4800.518
2050-01-02 13:00:00,2305.305,966.718,1533.32,4805.344
2050-01-02 14:00:00,2333.61,963.886,1545.58,4843.075
2050-01-02 15:00:00,2380.749,971.301,1562.54,4914.59
2050-01-02 16:00:00,2527.737,1039.327,1620.85,5187.914
2050-01-02 17:00:00,2738.337,1141.428,1735.09,5614.856
2050-01-02 18:00:00,2821.872,1359.189,1908.63,6089.692
2050-01-02 19:00:00,2871.278,1433.371,2030.3,6334.95
2050-01-02 20:00:00,2829.567,1474.587,2097.37,6401.523
2050-01-02 21:00:00,2625.419,1540.717,2151.94,6318.076
2050-01-02 22:00:00,2430.564,1467.435,2213.7,6111.698
