Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1268133,-,-,-,40.81,-73.26,-5,40,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,GHI
2019,1,1,0,30,0,0
2019,1,1,1,30,0,0
2019,1,1,2,30,0,0
2019,1,1,3,30,0,0
2019,1,1,4,30,0,0
2019,1,1,5,30,0,0
2019,1,1,6,30,0,0
2019,1,1,7,30,6,6
2019,1,1,8,30,62,63
2019,1,1,9,30,88,90
2019,1,1,10,30,81,83
2019,1,1,11,30,130,133
2019,1,1,12,30,129,391
2019,1,1,13,30,59,389
2019,1,1,14,30,73,267
2019,1,1,15,30,87,94
2019,1,1,16,30,6,6
2019,1,1,17,30,0,0
2019,1,1,18,30,0,0
2019,1,1,19,30,0,0
2019,1,1,20,30,0,0
2019,1,1,21,30,0,0
2019,1,1,22,30,0,0
2019,1,1,23,30,0,0
2019,1,2,0,30,0,0
2019,1,2,1,30,0,0
2019,1,2,2,30,0,0
2019,1,2,3,30,0,0
2019,1,2,4,30,0,0
2019,1,2,5,30,0,0
2019,1,2,6,30,0,0
2019,1,2,7,30,9,9
2019,1,2,8,30,90,96
2019,1,2,9,30,155,182
2019,1,2,10,30,173,306
2019,1,2,11,30,126,396
2019,1,2,12,30,97,422
2019,1,2,13,30,175,288
2019,1,2,14,30,125,134
2019,1,2,15,30,64,65
2019,1,2,16,30,6,6
