SiteID,4203002,Site Timezone,-5,Data Timezone,-5,Longitude,-72.663574,Latitude,40.921963
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind speed at 60m (m/s)
2018,1,1,0,0,6.75,13.19
2018,1,1,1,0,5.08,11.78
2018,1,1,2,0,4.86,11.41
2018,1,1,3,0,4.84,12.13
2018,1,1,4,0,4.96,11.870000000000001
2018,1,1,5,0,5.11,11.83
2018,1,1,6,0,5.59,11.98
2018,1,1,7,0,5.71,12.91
2018,1,1,8,0,7.21,12.39
2018,1,1,9,0,8.61,12.35
2018,1,1,10,0,8.83,12.31
2018,1,1,11,0,8.74,12.02
2018,1,1,12,0,8.83,12.06
2018,1,1,13,0,8.78,12.07
2018,1,1,14,0,8.31,11.24
2018,1,1,15,0,7.3,9.98
2018,1,1,16,0,5.17,11.290000000000001
2018,1,1,17,0,4.41,10.06
2018,1,1,18,0,3.0500000000000003,8.91
2018,1,1,19,0,1.19,7.05
2018,1,1,20,0,2.08,5.89
2018,1,1,21,0,1.8900000000000001,8.26
2018,1,1,22,0,2.34,9.69
2018,1,1,23,0,3.09,7.66
2018,1,2,0,0,2.11,8.620000000000001
2018,1,2,1,0,2.41,8.46
2018,1,2,2,0,3.02,8.76
2018,1,2,3,0,3.45,11.06
2018,1,2,4,0,4.0200000000000005,10.41
2018,1,2,5,0,4.28,10.73
2018,1,2,6,0,3.62,9.65
2018,1,2,7,0,4.19,10.450000000000001
2018,1,2,8,0,4.46,10.58
2018,1,2,9,0,7.26,10.11
2018,1,2,10,0,7.67,10.52
2018,1,2,11,0,7.46,10.01
2018,1,2,12,0,6.99,9.14
2018,1,2,13,0,6.5200000000000005,8.53
2018,1,2,14,0,5.93,8
2018,1,2,15,0,5.04,7.1000000000000005
2018,1,2,16,0,2.69,7.24
2018,1,2,17,0,2.49,7.12
2018,1,2,18,0,3.87,10.44
2018,1,2,19,0,3.68,10.1
2018,1,2,20,0,4.94,11.4
2018,1,2,21,0,3.5300000000000002,9.24
2018,1,2,22,0,2.44,8.9
2018,1,2,23,0,2.96,10.16
2018,1,3,0,0,3.92,10.76
2018,1,3,1,0,3.9,9.99
2018,1,3,2,0,3.8200000000000003,10.05
2018,1,3,3,0,3.11,8.92
2018,1,3,4,0,3.18,8.51
2018,1,3,5,0,1.61,7.5200000000000005
2018,1,3,6,0,2.59,7.04
2018,1,3,7,0,2.84,7.7
2018,1,3,8,0,2.06,6.79
2018,1,3,9,0,3.86,5.47
2018,1,3,10,0,3.63,4.2700000000000005
2018,1,3,11,0,3.33,3.66
2018,1,3,12,0,3.56,3.9
2018,1,3,13,0,3.2800000000000002,3.6
2018,1,3,14,0,3.22,3.65
2018,1,3,15,0,2.62,3.08
